Ano,Ticket_Medio,Receita_Liquida,Cresc_Ticket_Medio (%),Cresc_Receita (%),Razao_Cresc,Parcial?
2014,126.56,3800,,,,False
2015,134.04,4200,5.910240202275596,10.526315789473696,1.7810301153954438,False
2016,140.4,4600,4.744852282900647,9.523809523809534,2.0071877807726803,False
2017,144.06,5100,2.6068376068375976,10.869565217391308,4.169636493228812,False
2018,149.02,5500,3.4430098570040313,7.843137254901955,2.277988614800754,False
2019,154.54,6000,3.704200778418998,9.090909090909083,2.4542160737812933,False
2020,151.06,5800,-2.2518441827358515,-3.3333333333333326,1.4802681992337225,False
2021,158.0,6500,4.594200979743146,12.06896551724137,2.626999900626055,False
2022,165.5,7000,4.746835443037978,7.692307692307687,1.6205128205128183,False
2023,172.0,7500,3.92749244712991,7.14285714285714,1.8186813186813175,False
2024,178.0,7900,3.488372093023262,5.333333333333323,1.5288888888888832,False
2025,180.0,7200,1.1235955056179803,-8.860759493670889,-7.886075949367072,True
